Chosen_category,Complaint Description,Predicted category 1,Predicted category 2,Predicted category 3
Bad Patches,Bad news all arounde,Bad Patches,Odour  foul smell  from drains,Major repairs to municipal property
Minor repairs to municipal property,Complaint About Need more Bmtc buses for bus route number 288H,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Unauthorised Food Selling   Preparation,Even though police were there this family rode with 4 ppl on bike near ejipura signal,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Unauthorised Food Selling   Preparation,Most streetlights near Koramangala police station  in the main road are non functional,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Garbage not lifted from co-authorised collection point,Here the dumping of waste is more  the garbage collection vehicles are not coming regularly here due which all the waste give out bad smell by which the near by residential people are unable to breathe so i request u to  clear it out as fast as possible almost half of the people residing here are suffering from asthama so i request u to take severe action,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Unauthorised construction in slum,Defective number plate,Unauthorised construction in slum,Unauthorised construction on the Plot Room,Unauthorised construction development
Minor repairs to municipal property,Complaint About Need more Bmtc buses for bus route number 315P,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Garbage not lifted from co-authorised collection point,Here the dumping of waste is more  the garbage collection vehicles are not coming regularly here due which all the waste give out bad smell by which the near by residential people are unable to breathe so i request u to  clear it out as fast as possible almost half of the people residing here are suffering from asthama so i request u to take severe action,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Garbage not lifted from co-authorised collection point,I am staying near Netaji Circle and recently they did a Good thing of not allowing public to put waste in the road. It is really needed. But the authority should come and collect the waste from the apartment. If we are inside the apartment we won\'t know if someone is in the road to collect waste. I happen to see they come around 6 AM in the morning and people like me come from Night shift and will be sleeping. It is becoming difficult for us. \n\nThey could charge the apartment people some nominal fee say around 30-50 per month for collecting the waste. I have seen this happening in other cities  so thought to say.\n\nThanks\nAnish,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Unauthorised Food Selling   Preparation,Hi iam Pooja staying in vidyaranyapura dodda bomsandra  in our area there is new rules regarding the garbage segreation but we are unable to separte this like wet or dry... so we need to collect both.... then we need a dusbin in our road...,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Unauthorised Food Selling   Preparation,Place  clan the road  cheluvadipalya  garbage,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Sweeping of road,Few residents just do not use the garbage pick up facility..instead throw the garbage in open field....,Sweeping of road,Removal of Debris,Garbage not lifted from co-authorised collection point
Bad Patches,I would like an increase in bus service for route number 111,Bad Patches,Minor repairs to municipal property,Person falling in Manhole
Garbage not lifted from co-authorised collection point,This is the state in one empty plot at 26th main opposite kings elegance in hsr sector 2 . pigs are also in large number causing loitering of garbage further.\nplease clear the place at earliest so that the smell and risk of disease is removed,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Bad Patches,I would like an increase in bus service for route number 7F,Bad Patches,Minor repairs to municipal property,Person falling in Manhole
Minor repairs to municipal property,Complaint About Need more Bmtc buses for bus route number 314F,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Unauthorised Food Selling   Preparation,More Taffic & Lack of bus facility,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Drainage chokes and blockages,Lots of garbage on the road.,Drainage chokes and blockages,Minor repairs to municipal property,Pre-monsoon works halted
Minor repairs to municipal property,Complaint About Need more Bmtc buses for bus route number 330H,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Garbage not lifted from house gully,Pathholes in the road connecting krpuram station and ramamurthynagar.,Garbage not lifted from house gully,Garbage not lifted from co-authorised collection point,Collection point not attended properly
Drainage chokes and blockages,Hi I saw complaints in this blog are almost same which am facing this by birth and tried to solve this  but here local Panchayath is not responding  since took dicestion to change system  so I want cleanup in panchayth first  trying to participate in panchayath election if anyone had plans kindly update want change my village and keep clean in everything.,Drainage chokes and blockages,Major repairs to municipal property,Minor repairs to municipal property
Drainage chokes and blockages,Hi I saw complaints in this blog are almost same which am facing this by birth and tried to solve this  but here local Panchayath is not responding  since took dicestion to change system  so I want cleanup in panchayth first  trying to participate in panchayath election if anyone had plans kindly update want change my village and keep clean in everything.,Drainage chokes and blockages,Major repairs to municipal property,Minor repairs to municipal property
Sweeping of road,There is a rapid increase in stray dogs in last 6-7 months around this area. Also I have not seen these dogs sterilized for more than a year now. Which I guess used to happen prior to that. We have around 30-35 dogs (if not more) around our building.,Sweeping of road,Collection point not attended properly,"Removal of silt from nalla across culverts, etc."
Shortage of water supply,I Stay at Borewell Road  Nallurahalli  Buildwell Homes Apartment.  Though we have cauvery water connection we are not getting water supply regularly.  The only source of water Ground water level which  has been depleted and our apartment is totally dependent on tankers and cauvery water.    I request the concerned authority to streamline the cauvery water supply.,Shortage of water supply,Leaks in water lines,Contaminated water supply
Bad Patches,I stay at Borewell Road  Nallurahalli  Whitefield.  two years back i was told that the road starting from Whitefield Post office to Siddapura circle  near ambedkar statue will be widened as per government order  but till now i haven\'t seen any signs of road widening.\n\nNow  i can see some people had constructed shops/commercial establishments on that strech and adding more traffic woes to commuters travelling daily to ITPL/EPIP and Satya Sai Hospital\n\nI request the concerned authorities of BBMP to take up the road widening activity at earliest  so that i will ease the commuters to reach office or Hospital on time.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Garbage not lifted from co-authorised collection point,Hope some BBMP officials would take this serious keeping in mind the increase of viral diseases spreading across city. There has been a regular garbage cleaning issue in Girinagar. The road is 80ft wide  however for public it can be used only 15ft. Thus making threat to not only spreading disease but at the same time causing accident.,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Garbage not lifted from house gully,Truck comes everyday in the morning and cleans the garbage. But most of the people living around wl not dump their garbage when the truck comes  but throw the garbage after the truck leaves the spot. The spot is near the residence of grandson of erstwhile President of India Sri B.D. Jatti  CAD & MET Layout  6th Cross  80 Ft Road  Sanjaynagar  II Block  RMV II Stage Post  Bangalire 560094,Garbage not lifted from house gully,Garbage not lifted from co-authorised collection point,Collection point not attended properly
Collection point not attended properly,Lot of garbage and waste is dumped opposite the vacant lands opposite our flats on St. Norbert Church Road  Kasavanahalli. Pigs  stray dogs  rats/rodents and mosquitoes are rampant causing serious health issues. dengue now followed by flu are mainly caused due to this. More issues like Brain fever  Japan fever etc are likely because of this unhygenic condition. In spite of complaints to BBMP nothing positive has been done. Drainage is also not de-silted. Photos attached. The road to this street is also full of pot holes and not maintained or done for the last 7 years. The situation here is pathetic.,Collection point not attended properly,Garbage not lifted from house gully,Person falling in Manhole
Bad Patches,Hi   \nIn 9th Block Jayanagar the roads are dug up for laying Drainage Pipes . Its been almost 2 months and BBMP has not taken any steps to clear the mess . Whole area is become dusty which causes breathing problems for elderly people. When it rains one can\'t walk and people may slip while walking. The roads have turned into Dirt Tracks.Please take this forward. \n\nRegards  \nRaghavendra,Bad Patches,Minor repairs to municipal property,Odour  foul smell  from drains
Bad Patches,Traffic at AXA signal in the morning: I don\'t see the traffic controller at AXA signal before 8:00 AM for the last 2 weeks. The traffic lights continue to follow a pattern set for the previous night with short signals for each road  making the traffic approaching from lake road clogged for a long time. Worse still  I see an old man controlling the traffic signalling every day when there is no police. Kindly take an action immediately!,Bad Patches,Person falling in Manhole,Municipal Land - Road   Footpath   Strom Water Drain
Municipal Land - Road   Footpath   Strom Water Drain,6 footpath slabs have caved in due to faulty workmanship. Big crater on road in front of exit gate of 3 Kingston Road--VERY VERY DANGEROUS !!!,Municipal Land - Road   Footpath   Strom Water Drain,Drainage chokes and blockages,Hawkers
Municipal Land - Road   Footpath   Strom Water Drain,6 footpath slabs have caved in due to faulty workmanship. Big crater on road in front of exit gate of 3 Kingston Road--VERY VERY DANGEROUS !!!,Municipal Land - Road   Footpath   Strom Water Drain,Drainage chokes and blockages,Hawkers
Pollution due to chemical effluents,10HP Electricity power in residential area. A printing press (Raghavendra printers #20 2Mian 2A cross shivanagar bangalore-10) opposite to our building has got Electricity power without our permission. Printing press has 3-4 heavy machines with 10HP Power operates from 8:30AM to 7:00PM generates heavy noise more than 80db. This is pure residential area and running such factory should not be permitted anymore. we request you to please cut the power.,Pollution due to chemical effluents,Running without licence,Unauthorised Food Selling   Preparation
Providing removing replacing dustbins,The garbage autorickshaw has not been to 4th main  KR Garden for more than a week now! This is happening very often  I\'m not sure why they are not willing to come to this street. We can hear the auto honking on the parallel street  but they do not come to this street - 4th main. Please have this rectified at the earliest. It is resulting in people dumping garbage in vacant plots and on the roadside. Please regulate the garbage pick up on a daily basis.,Providing removing replacing dustbins,Garbage not lifted from house gully,Collection point not attended properly
Bad Patches,The road from Aishwarya Bakery all the way to EPIP(Environment Protection) and towards Kalyani Magnum is full of Potholes big and small its is an accident prone road for bikers and a mountain ride for Cars. Please do rectify it.,Bad Patches,Person falling in Manhole,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,Road adjacent to yashomati hosiptal has been dug by bwssb and left as it is.Road is very bad to commute  rains make it worse. Please fix the road .,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Bad Patches,Road adjacent to yashomati hosiptal has been dug by bwssb and left as it is.Road is very bad to commute  rains make it worse. Please fix the road .,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Bad Patches,The road in front of Diamond District (just under Domlur Flyover) is filled with potholes  making it impossible to drive and causing lot of traffic congestion.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,"Unauthorised stalls on roads, footpath or SWD drain"
Garbage not lifted from house gully,I spotted bribery: Yesterday when my wife and I were having pani puri near Jayanagar 4th block  we saw 2 policemen on bike waiting on the otherside of the road and the pani puri wala running to them and giving them some money. Bike number of the police was: KA 06 EA 5307. Kindly do the needful in stopping bribery! I deserve a better city! Thanks!,Garbage not lifted from house gully,Collection point not attended properly,Pollution due to chemical effluents
Garbage not lifted from co-authorised collection point,There is no place to throw garbage/waste near this location.\nGarbage auto is very irregular and at time he never turns up. \nIs there a solution for this.\nAppreciate your reply and solution.\nRegards \nMithun,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Collection point not attended properly,These illegal hoarding on ramamurthy nagar causes inconvenience to commuters. Many are just placed on the foot path itself. This causes people to walk on road creating traffic jams and issues. Children are unable walk safely on these footpaths.,Collection point not attended properly,Silt to be lifted on road,Garbage not lifted from house gully
Bad Patches,Far too many buses run on Ramamurthy nagar main road. They cause major traffic jams.  during peak hours.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Unauthorised Food Selling   Preparation,Dumping of garbage  using it as public toilet,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Bad patches potholes on roads,I m a resident of rajajinagar 3 rd block! Few years ago der was a divider built in our locality! Every year d BBMP ppl but sm dum plastic reflectors which doesn\'t even last for few days! At night d visibility of d divider s sooo low tat it s unseen by many drivers n uptil tday i hv found so many vehicles colliding wit d divider n den struggling hard to get out their stuck car.\nIts a sincere request from all d residents  to d officials to atleast build a huge divider or instal a sign board regarding d divider or install proper reflector such which are tough even like d 1 put on highways which makes us realize that there is a divider no matter how dark it s!!\nDer r same type of dividers in bhashyam cirle n old police station bus stop (near ESI)\nPls fo smthng about it.,Bad patches potholes on roads,Repairs re-surfacing of roads footpaths,Drainage chokes and blockages
Garbage not lifted from co-authorised collection point,Garbage,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
"Unauthorised stalls on roads, footpath or SWD drain",Many ups and downs on roads in most of the places. Digged and kept uncovered almost all roads. Very muddy and it results in pollution and road accidents. proper and complete work should be done to avoid accidents,"Unauthorised stalls on roads, footpath or SWD drain",Municipal Land - Road   Footpath   Strom Water Drain,Unauthorised Food Selling   Preparation
Garbage not lifted from co-authorised collection point,I have one idea in my mind regarding garbage disposal in Bangalore. I see large heaps of garbage disposed open around the roads and corners in the city that give it a horrible sight. \nWe can start one campaign wherein each company can contribute to donate one large bin for waste disposal. The waste can be collected by the BBMP on daily basis as they usually do. \nWe always expect BBMP to take action for everything which I feel is helpless due to shortage of funds or other reasons. This initiative will at least raise a sense of responsibility among the corporates in city  who can make big change by contributing a bit to maintain the beauty of the city. I am writing this in hope that this will be taken up as a city wide campaign to make a change.\nThanks and regards \nAnita Kalia,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Garbage not lifted from co-authorised collection point,There is irregularity in taking the garbage. only one  mini truck for 5 to 6 areas and comes to our area once in a week. very disturbing dont know where to throw the garbage.,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Bad Patches,Hi\nSome auto and private buses have installed white flash lights at the tail lamps. Some tempo traveller vehicles have interchanged the red brake light to white reverse light. In addition to creating confusion to rear vehicles this sudden white flash light on the eye of the rear vehicles causes a blind spot resulting into accident. I am attaching one sample photo of a vehicle where the brake light is a white flash lights that blinds the rear vehicle driver. I have nothing against this particular vehicle or company but this problem is there across Bangalore city,Bad Patches,Minor repairs to municipal property,Sweeping of road
Hawkers,Instead of taking the garbage out  the bbmp contractor is making their people to burn the plastics and other poisonous items. this is one of the reason for current level of pollution and high day temperatures in Bangalore,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain,"Unauthorised stalls on roads, footpath or SWD drain"
Proper electric supply to municipal properties,The street lights 2Nos. in front of my house are not working again.\nPlease attend as the area is dark,Proper electric supply to municipal properties,Minor repairs to municipal property,Major repairs to municipal property
Drainage chokes and blockages,As there is no sign board in the location I mentioned above. Lots of accidents take place here.Many two wheelers and four-wheelers meet with an accident.And no proper care is taken about this.As this is a highway many unknown vehicles travel through this road as there is no sign board unknown vehicles speed up and as soon as they see the speed bump they apply sudden break  the vehicles behind will dash with the vehicle in the front. I\'ve noticed a lot of accidents here.So I request you to fix this issue ASAP.,Drainage chokes and blockages,Municipal Land - Road   Footpath   Strom Water Drain,Bad Patches
"Removal of silt from nalla across culverts, etc.",Storm water drain is open and clogged with garbage. water is stagnating and mosquitoes are breeding. pls do the needful.,"Removal of silt from nalla across culverts, etc.",Mosquito nuisance,Drainage chokes and blockages
Odour  foul smell  from drains,From past 2 weeks  our neighbourhood(Talacauvery nagar and Veerabhadra nagar) is receiving Cauvery water with green colour organic content in it. It has an extremely bad odour. I believe  sewage is getting mixed somewhere nearby probably due to damaged pipe. BWSSB has to take action immediately  as this is a major health concern and every time this happens  we end up spending thousands of rupees to clean our tanks and sump. We also need to pay the heavy price to the water tankers for our water despite we having BWSSB metre at homes. We also end up paying the water bill to BWSSB for the dirty water they are providing.,Odour  foul smell  from drains,Flooding during monsoon,Contaminated water supply
Municipal Land - Road   Footpath   Strom Water Drain,Every day between 5 to 6 pm massive amount of sewage is let on to road by SJR Symphony and other apartments on Kasavanahalli road flooding the road next Laca$a leading to Lakeshore homes. it is damaging the roads every day,Municipal Land - Road   Footpath   Strom Water Drain,Hawkers,Bad Patches
Municipal Land - Road   Footpath   Strom Water Drain,We have been waiting for roads to be tarred. Our neighbouring roads have  been tarred and our roads have not been done. We have been requesting corporator to come and resolve this issue from many days. Nothing is been done. Atleast if they flatten Road that\'s enough. That Road is the bumpier Road I have seen.,Municipal Land - Road   Footpath   Strom Water Drain,"Unauthorised stalls on roads, footpath or SWD drain",Person falling in Manhole
Bad Patches,The road from Padmanabhanagar bus stop which connects to D G Hospital near Devegowda Petrol bunk via RCIM is very bad shape. It is has not seen tar for many years. Kindly act quickly.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Drainage chokes and blockages
Major repairs to municipal property,Street lights on sai layout main road  whitefield (Behind sathya sai General hospital) are not functioning. Also  there is need to install more street lights on this street  as it has become impossible for the sai layout ladies to use that street after 7 PM. Lot of men stop there to urinate as it is dark area. This road has become unsafe  specially for women in the evening time. please do the needful.,Major repairs to municipal property,Bad Patches,Proper electric supply to municipal properties
Drainage chokes and blockages,The road 7th cross in ward 58 is dug by one of the civic agencies at both sides of New Thippasandra Main Road. (In Front of Bharani Sweet  Near Compete Showroom) This road is widely used by people coming from old airport road  JB Nagar and living in Thippasandra and by school children. Due to bad condition of the road  everybody in this area is suffering and it has increased the traffic on the other parallel road going from Market. This may result into some accident one day  as the market road is highly populated.,Drainage chokes and blockages,Unauthorised Food Selling   Preparation,Person falling in Manhole
Garbage not lifted from co-authorised collection point,Garbage situation worsens despite many complaints before,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Drainage chokes and blockages,Hi BBMP     We have been Promised the CDP 2015. where in according to the link   ( http://clearvalue.in/cdp/cdpMap.html?Loc=BlrSouth# ) There has to be a Road which will connect HSR 27 Main to Haralur through Sobha Daffodil. The current roads are very small and cant handle the increase in vehicles and the school bus which fery in . there are traffic jams and residents are going through a lot of hassle according to link ( http://indiankanoon.org/doc/131570235/) BBMP had approached to fix this but residents of Sobha are creating issues. Please let us know the status of this. This Road is a Life line for many people around haralur and somsundrapalya. Even Sobha in their Website has shown this road,Drainage chokes and blockages,Private Land   Building   Society   Factories,Person falling in Manhole
Removal of rank regulation on roads,The robbery has become a weekly news in our locality. The police station is 15+ kilometers from our locality. And the jurisdiction of  the police in our area is 200 kms.,Removal of rank regulation on roads,Bad Patches,Repairs re-surfacing of roads footpaths
Collection point not attended properly,There is no proper way to dispose the garbage in our locality. The garbage collector comes only 15 days once or monthly once. The garbage are thrown on road corners or in vacant sites which is causing the place for many diseases.,Collection point not attended properly,Garbage not lifted from house gully,Garbage not lifted from co-authorised collection point
Repairs re-surfacing of roads footpaths,The cross roads in our area has not been tarred or asphalted even once from the time of formation of our layout and it is very difficult to even walk on these roads and it is a nightmare for the 2 wheelers to ride on this road.,Repairs re-surfacing of roads footpaths,Municipal Land - Road   Footpath   Strom Water Drain,Bad patches potholes on roads
Drainage chokes and blockages,There is no proper drainage system in our area of vidyamanyanagar. When it rains the water overflows from the rain water drains and it is filled with mud and plants are growing on the storm water drains and it needs to be replastered and rebuilt in some places also.,Drainage chokes and blockages,Minor repairs to municipal property,Major repairs to municipal property
Drainage chokes and blockages,I am a resident of the said street. There is a house in our street with over 6 pet dogs.They also rear dogs for commercial sales.They never chain their dogs and leave them free on the road.This is causing inconvenience to all the residents and are scared to move in the road.Many a times these dogs become violent and attack passersby and bike riders. The owners of these dogs are least bothered and are ever ready to pick up petty fight with whoever raised voice against this menace.In fact they are most uncultured who use filthy language and people are taken aback to complain against them.,Drainage chokes and blockages,Garbage not lifted from house gully,Garbage not lifted from co-authorised collection point
Bad Patches,Dear Sir/Madam     The road opposite to Amrita university (Marked in the map) is completely damaged. I commute regularly and see that it is not maintained from the last several years. Its unbelievable that the road of such a famed landmark is not-maintained for so many years causing inconvenience to students  parents and other dignitaries visiting our university. Kindly visit this site/road and fix it.    Best Regards  Rajesh,Bad Patches,Person falling in Manhole,Major repairs to municipal property
Proper electric supply to municipal properties,The street dogs are creating lot of problems in vidyamanyanagar  andrahalli. They chase the riders of 2 Wheelers and frighten them. people are unable to walk on streets peacefully due to the dogs.,Proper electric supply to municipal properties,Major repairs to municipal property,Minor repairs to municipal property
Garbage not lifted from house gully,Garbage on street from too many days!,Garbage not lifted from house gully,Garbage not lifted from co-authorised collection point,Collection point not attended properly
Bad Patches,This is my third compliant about the same issue (bad road) which has not been addressed for more than a year now.,Bad Patches,Person falling in Manhole,Odour  foul smell  from drains
Bad Patches,In Balagere road there is a very dangerous pot hole nearly 2-3 feet deep. There is a high chance of some biker driving into it and getting injured seriously. Please fix it asap.,Bad Patches,Drainage chokes and blockages,Major repairs to municipal property
Providing removing replacing dustbins,Hello  In my current location didn\'t find any place to throw garbage  please help.. because of that only whole place become dirty.,Providing removing replacing dustbins,Collection point not attended properly,Garbage not lifted from co-authorised collection point
Major repairs to municipal property,In mission road,Major repairs to municipal property,Minor repairs to municipal property,Person falling in Manhole
Major repairs to municipal property,Riding on foot path in mission Road  Sr nagar,Major repairs to municipal property,Minor repairs to municipal property,Person falling in Manhole
Major repairs to municipal property,Riding on foot path in mission road,Major repairs to municipal property,Minor repairs to municipal property,Person falling in Manhole
Unauthorised Food Selling   Preparation,While i was travelling to kormangla forum from agara  i came across this pothole near kormangla water tank signal.. and the water was flowing from that pothole  i heard some people telling that the water is flowing from a week.. we all know that there is huge scarcity of water.. please requesting BBMP to do something on this issue..,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Proper electric supply to municipal properties,Steeet light went of from past 15 days and need to be rectified on priority and safety of the walkers.,Proper electric supply to municipal properties,Major repairs to municipal property,Minor repairs to municipal property
Municipal Land - Road   Footpath   Strom Water Drain,In Sahakaranagara (Ganesha Temple road  next to playground) most of the cars are parked on the footpaths. Due to this it\'s becoming for everyone to walk on the footpaths  and it\'s dangerous to walk on the roads. Requesting traffic Police to monitor these types of violations and clear the footpaths to walk.,Municipal Land - Road   Footpath   Strom Water Drain,Hawkers,Sweeping of road
Municipal Land - Road   Footpath   Strom Water Drain,There are dangerous deep potholes all along the road and BBMP has not bothered to tar the road properly for years. The pathetic condition of the road affects thousands of commuters and causes severe traffic jams,Municipal Land - Road   Footpath   Strom Water Drain,Bad Patches,Person falling in Manhole
Bad Patches,Roads From Hoodi Junction Towards Kodigehalli Main Roads via Railway Gate is the worst road that I have come across in Bangalore. No there has been a Flyover being successfully made for people going towards KR Puram but what is being done to fix the roads that go below the Flyover and towards Kodigehalli Main Road. This needs to be fixed as there seems to be no one concerned about people commuting via this road.,Bad Patches,Person falling in Manhole,Minor repairs to municipal property
Hawkers,Would like the Traffic commissioner to immediately impose this rule on all major traffic junctions and every signal FOR EG;- CMH Road KFC Junction.... How can you have bus stops on both sides of the traffic siignal just 20 metres away from the signal. No traffic junction for atleast 50 meters from junction should have either parking  stands.  stops.  footpath occupied by vendors nothing should be allowed.,Hawkers,Removal of rank regulation on roads,Person falling in Manhole
Bad Patches,The roads connecting the Suranjandas Road and Bagmane Tech Park has become very bad and has lot of potholes. Vehicles enter footpath to avoid the potholes causing danger to pedestrians.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Municipal Land - Road   Footpath   Strom Water Drain,Many vehicles  including trucks  Autos to two-wheelers are always parked infront of More Megastore on Nagvarpalya Main Road. Even though this is NO PARKING zone  vehicles are kept parked throughout the day.,Municipal Land - Road   Footpath   Strom Water Drain,Bad Patches,"Unauthorised stalls on roads, footpath or SWD drain"
Municipal Land - Road   Footpath   Strom Water Drain,Footpaths in the entire stretch of Nagvarpalya Main Road has been encroached. Pedestrians are forced to walk on the road and face the traffic.,Municipal Land - Road   Footpath   Strom Water Drain,Drainage chokes and blockages,"Unauthorised stalls on roads, footpath or SWD drain"
Bad Patches,There is a shortcut which lot of people use which goes from AECS Layout to Chinnapanahalli. There is a small turn where only 1 vehicle can go by(4-wheeler). At the same turning  there is a huge pothole which further blocks all the traffic. Kindly look into this.,Bad Patches,Person falling in Manhole,Odour  foul smell  from drains
Bad Patches,The ITPL Main Road at the junction of hanuman temple  Kundalahalli colony is very rough with multiple potholes and uneven small bumps. This impacts smooth flow of traffic. Please make the road even   so that traffic flow is smooth.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Major repairs to municipal property
Bad Patches,Just wanted to report about the potholes on the side of the road which is extremely dangerous especially for the 2 wheeler riders. I have seen many instances bikers loose control of the vehicles and fals down,Bad Patches,Person falling in Manhole,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,Roads are very Bad on BEML Gate to HAL Market  very very Bad roads  see lot of accidents happening in there,Bad Patches,Odour  foul smell  from drains,Major repairs to municipal property
Bad Patches,Main road in BEML layout rajarajeshwari nagar facing a series of digging from BWSSB and they have left the holes wide open for more than three days  and the worst part is they haven\'t put any barricades stating the hole in the road  BWSSB look into the matter and resolve the same,Bad Patches,Person falling in Manhole,Municipal Land - Road   Footpath   Strom Water Drain
Unauthorised Food Selling   Preparation,Bhuvaneswari nagar dasarahalli road  6 th cross road is totally gone. .not at all usable.\n.no bbmp work happened during last 5 years...bbmp and govt please take immediate action.,Unauthorised Food Selling   Preparation,Garbage not lifted from co-authorised collection point,Person falling in Manhole
Proper electric supply to municipal properties,The street light between No 164 and No 165  1st Cross  4th Main  Viveknagar  Bangalore - 560047 has not been working for over a fortnight.,Proper electric supply to municipal properties,Minor repairs to municipal property,Major repairs to municipal property
Garbage not lifted from co-authorised collection point,Dry n wet wast is getting collected on two separate days but from past 3days garbage is not collected from this area,Garbage not lifted from co-authorised collection point,Collection point not attended properly,Sweeping of road
Bad Patches,Heavy traffic from dairy circle to st john at 9pm,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,"Unauthorised stalls on roads, footpath or SWD drain"
Garbage not lifted from co-authorised collection point,Garbage,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Garbage not lifted from house gully,Garbbage is not moved from my place from past 3 days...Shantilayout 2nd cross ramamurthynagar 560016 ,Garbage not lifted from house gully,Garbage not lifted from co-authorised collection point,Collection point not attended properly
Mosquito nuisance,A house construction (Next to house number 553) has been going on for more than an year and the owners are not sympathetic to the nuisance caused by them to their neighbors. One of their neighbors is bed ridden due to the dust from the construction site and their gate has been completely demolished by them. They don't pay heed to their cries. To top it all the construction debris has been dumped on the road blocking traffic movement. The owners are least bothered about the complaint raised by their neighbors and continue to cause nuisance to them. Kindly look into this issue and help the neighbors stay peacefully.,Mosquito nuisance,Unauthorised uncovered water storage tanks,Unauthorised construction development
Unauthorised Food Selling   Preparation,Students of Vemana Institute of Technology & RJS Institute of Management Studies Park their Bikes on Roads (5th Cross & 6th Cross Road  3rd Block Koramangala) thereby blocking the roads for 2 way traffic movement. The management should make provision to allow their students to park inside their premises and not on the roads. Request you to restrict parking on this road and allow smooth movement of traffic.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Municipal Land - Road   Footpath   Strom Water Drain,Not all streetlights are working in 5th cross road & 4th A cross road in Koramangala 3rd Block (Behind Karnataka Bank). Women find it difficult to walk on these streets in the night. Please have them fixed at the earliest.,Municipal Land - Road   Footpath   Strom Water Drain,Minor repairs to municipal property,Unauthorised construction development
Unauthorised Food Selling   Preparation,Respected Sir      This is to bring to your notice that DLF and few other developers in the vicinity of Hennagara Lake has encroached the lake. As per DLF management the order doesn't applies to them and they are asking of documents from Common Citizen who are raising the voice to show the proof. Request the concerned Department to kindly have a check on this and save the lake.,Unauthorised Food Selling   Preparation,Trade without License,Private Land   Building   Society   Factories
Proper electric supply to municipal properties,Lights have gone off for a while now and is too dark for women to walk alone.,Proper electric supply to municipal properties,Minor repairs to municipal property,Major repairs to municipal property
Unauthorised Food Selling   Preparation,0,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Hawkers,There is no foot over bridge on ORR Marathalli junction which is causing traffic jams as pedestrians try to cross the road haphazardly. The issue is more serious at Kalamandir bus stop.\n\nRequest you to please provide a foot over bridge for pedestrians as soon as possible.\n\nThanks\nPrasad,Hawkers,Minor repairs to municipal property,Person falling in Manhole
Garbage not lifted from house gully,Huge garbage dump on SP road. the under construction building is used as toilet. Impossible to stand.,Garbage not lifted from house gully,Garbage not lifted from co-authorised collection point,Sweeping of road
