Chosen_category,Complaint Description,Predicted category 1,Predicted category 2,Predicted category 3
Silt to be lifted on road,Under the Deepanjali Nagar Metro Station and just from the entrance to Deepanjali Nagar  the roads are full of potholes and uncleared construction debris. Causing unwanted traffic jams in that junction. Kindly clear that mess and make place for free flow of traffic,Silt to be lifted on road,Garbage lorry not reported for service,Garbage not lifted from house gully
Unauthorised Food Selling   Preparation,One Stray dog entered our compound and it is almost in its last days / hours / minutes. Please help to take it out. URGENT thanks,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,The road beneath the Attiguppe Nagar Metro Station has many Pothholes. Its difficult to commute during the normal hours itself and this becomes even worse when its raining. Please fix this road or atleast a temporary fix would help as thousands of people use this road.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Unauthorised Food Selling   Preparation,Whenever I travel using AC BMTC bus service  The bus will either breakdown or their will be no AC \n\nexample on 19th april 2016   MY bus  broke down at vaidei circle\nKA 01 FA 431,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Garbage not lifted from co-authorised collection point,Agara Lake  near Ayappa swamy temple  garbage are dumped daily and no action taken. sometimes it is being burnt instead of clearing or stopping from dumping near the lake.,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Minor repairs to municipal property,tes tes t,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Municipal Land - Road   Footpath   Strom Water Drain,Thanisandra main road is having lot of pot holes and lot of mud thrown near the footpath making it very difficult for people to travel.\nEven thou the road is big  due to pot holes  it is being used as a single lane load causing lot of traffic in peak hours.\nRequest for putting a new road.\n\nAffected : People coming and going to Manyata Tech park using the gate No 5 (On daily basis) & the people going to Elements Malls,Municipal Land - Road   Footpath   Strom Water Drain,Bad Patches,Person falling in Manhole
Garbage not lifted from house gully,Garbage pile up10 Th main under BWSSB pipe line and along stray dog menance at night.,Garbage not lifted from house gully,Drainage chokes and blockages,Garbage not lifted from co-authorised collection point
Municipal Land - Road   Footpath   Strom Water Drain,The first electric streetlight in Asia was lit on 5 August 1905 in Bangalore  this is in KR market which no one knows neither the streetlight is taken care...plz save the heritage Bangalore has &amp; make us proud being Bangalorean...I\'ve faith that &quot;I change my city&quot; to take up this task just as all my previous compliants...you guys are doing a great job...,Municipal Land - Road   Footpath   Strom Water Drain,Hawkers,"Unauthorised stalls on roads, footpath or SWD drain"
Bad Patches,Near JSS college on Uttarahalli main road there are frequent potholes. It is patched every couple of months but because of water these potholes again comes up. Instead of wasting money again and again BBMP should find a permanent solution.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Drainage chokes and blockages
Proper electric supply to municipal properties,Street  light not working,Proper electric supply to municipal properties,Minor repairs to municipal property,Major repairs to municipal property
Trade without License,Help desk is not active in vat office   two Computer with table is un used,Trade without License,Private Land   Building   Society   Factories,Unauthorised construction development
Bad Patches,Sacred hearts road has been dug up and is causing inconvenience while travelling.,Bad Patches,Major repairs to municipal property,Minor repairs to municipal property
Bad Patches,The road that leads to Chrysalis High School in Seegahalli  Kadugodi was supposed to be made a tar road as agreed by the government officials  they came and started the initial work but left it without completing the work. this had made the kuccha road even more deteriorated  difficult for school school children to commute.,Bad Patches,Minor repairs to municipal property,Person falling in Manhole
Hawkers,Litter In the parking side close to the petrol bunk on 80 feet road  right side of S V TOWERS koramangala,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain,Unauthorised construction development
Unauthorised Food Selling   Preparation,Commuting through this road has become a nightmare . Parking on Both sides by 3M Yashomati snapfitness & domios pizza customers.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,Roads are in bad condition on cunningam road opposite to Ammis Biryani and near Sigma Mall.,Bad Patches,Minor repairs to municipal property,Major repairs to municipal property
Removal of rank regulation on roads,This is my Neighbour... they have an non descriptive dog breed...which barks as early as 4 30 am. it has become a nuisance to the surrounding houses... including me... our efforts have become futile even after several requests to the neighbor ..pls look into this matter ..,Removal of rank regulation on roads,Repairs re-surfacing of roads footpaths,Bad patches potholes on roads
Unauthorised construction development,I am a resident of Sanjay nagar  Bangalore  Channamma Choultry Road.,Unauthorised construction development,Drainage chokes and blockages,Municipal Colony   Slum
Bad Patches,The road from Kadugodi flyover up to Delhi mahal hotel  near Keerthi Residency is in tatters  filled with potholes and also has been dug up. With the rains the holes have become large enough to break car bumpers and topple two wheelers.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Odour  foul smell  from drains
Unauthorised Food Selling   Preparation,"This complain is against the metronet internet service provider in bangalore. I took a wifi connection from one of its serv ice provider in kumarswamy layout a month back nd paid 1600 for an unlimited wifi usage at 10mbps. For the entire month i could hardly connect to the internet for 5-6 days. So next month before getting the service recharged i complained about it to the people involved. They assured me they\'ll see that it doesnt happen again and took the payment for the next month too. Its been 10 days now and still they havent recharged my account and EVERY DAY  each time that i call them they say they are JUST ABOUT TO DO THE RECHARGE. But it never happens. I complained that i\'ll launch a complaint against them so the reply was \""do whatever you want to.\"". . Its not just with me. Every one in my area has been facing the same problem with them but no actiion is being taken by anyone. Please do something about it.....if you can.",Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Repair to damaged open SWD,Miller road near contoment   pai vihar hotel  junction area metal trench damaged since few years like that  till day people not done  here two/4 wheelers passing through the trench when will be accident happen we have to see.this is the danger spot.,Repair to damaged open SWD,Drainage chokes and blockages,Bad Patches
Bad Patches,The road stretch on TC Palya Main Road from near Signal (Auto Stand) till Anandpura Circle is worth seeing and Specially designed to Test Ride new Vehicles with Very Bad roads - extra / additional speed breakers i.e  cavities / cuts in the road.... And the speed breakers which are already there don\'t have the White Stripes which are very much required for proper visibility ...... This has been there for nearly 6 months .... and getting worse day by day ..... Kindly look into it to fix this .....,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Drainage chokes and blockages
"Removal of silt from nalla across culverts, etc.",SEWAGE WATER LET INTO STORM WATER DRAIN WHICH IS OVERFLOWING INTO THE ROAD AND ENTERING MY COMPOUND.UNABLE TO USE THE MAINGATE AS SEWAGE WATER IS FLOODED.  HAVE BEEN COMPLAINING BUT NO SERIOUS ACTION TAKEN.  TERRIBLE STINCH AND HAS BECOME THE BREEDING GROUND OF MOSQITOES. ITS BEEN ALMOST A MONTH AND NO ACTION HAS BEEN TAKEN!    THE GOVT  RELEASES HALF PAGE ADV IN LOCALS TO EDUCATE ON DENGUE  SPREAD  BUT DOES NOT TAKE ACTION ON WHAT IT IS SEEING AND CAN ACTUALLY CONTROL.,"Removal of silt from nalla across culverts, etc.",Drainage chokes and blockages,Repair to damaged open SWD
Minor repairs to municipal property,I request BBMP to undertake sterilization program for stray dogs in my area before we see an increase in the number of stray dogs on the street,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Minor repairs to municipal property,I have been chased by the stray dogs while walking/ driving near my locality . I would like to bring it to the attention of BBMP.,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Minor repairs to municipal property,There are too many stray dogs in my locality. I would like to bring it to the attention of BBMP.,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Minor repairs to municipal property,I have been chased by the stray dogs while walking/ driving near my locality . I would like to bring it to the attention of BBMP.,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Minor repairs to municipal property,Before it becomes too late  I would like BBMP to sterilize the stray dogs in my area.,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Unauthorised Food Selling   Preparation,There are dangerous groups of dogs in front of radhakrishna theater  mk ahmed on cbi main road and palace ground in front of snow city entrance gate opposite hotel Atlantic. These dogs are violently attacking in nature and chase 2 wheelers to an extent that it can easily result in an accident. Although car owners dont get affected  this is a dangerous situation for 2 wheeler riders from these aggressive attackers. They are very active after 12 pm in the night and form a attacking pack of ruthless attackers who may even catch hold of legs of two wheeler drivers. They attack unprovoked and chase until the 2 wheelers go very fast to avoid them thus incresing possibility of a fall or accident.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Minor repairs to municipal property,There is a need to sterilize stray dogs in my locality in order to avoid over-population. Request BBMP to do the needful.,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Sweeping of road,This issue is on 13th main gokul 1st stage 1st phase bengaluru -560054. The BBMP has not appointed regular staff for clearing garbage/sweeping this particular road. In spite of regular complaints there has been no action. This is turning out to be health hazard. If this is the way how BBMP takes care  There is no point in paying yearly taxes. This is second complaint on your platform  there has been no action till date.,Sweeping of road,Removal of Debris,Garbage not lifted from co-authorised collection point
Minor repairs to municipal property,I request BBMP to undertake sterilization program for stray dogs in my area before we see an increase in the number of stray dogs on the street,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Minor repairs to municipal property,Previously we were getting buses from vijinapura but later from last 3 YRS we need to go by walk till tin factory.so pls respected authority make a note of it..and  do favour as soon as possible you can.,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Minor repairs to municipal property,Their is no convenient buses from Majestic to sadhasivnagar route  feeling very difficulty to travel and not able to go on time to office.\nEveryday late to office as well as late to home aslo. Please kindly make some arrangements for convenient bus availability to this route.\n\nThanking You\nVasumathi.M,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Minor repairs to municipal property,No much busses from vijaynagar to Bangalore. Gotta wait for 40 for a bus,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Garbage not lifted from co-authorised collection point,There is a CA Site next to BBMP Office  BTM Layout I Stage.  This is being used by BBMP as a Dumping Yard and Open Toilet,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
"Unauthorised stalls on roads, footpath or SWD drain",Just recently they have metalled roads (of course substandard) just about a month or so &amp; just a look at these snaps speaks everything.our taxes are misused to the limit.no respect for civic amenities.i feel sorry we are living in a country like this.A honest tax payer is being looted.,"Unauthorised stalls on roads, footpath or SWD drain",Municipal Land - Road   Footpath   Strom Water Drain,Unauthorised Food Selling   Preparation
Minor repairs to municipal property,Recent past electric poles were broken due to rains which have now been reinstalled but without the lights in it. Due to this  our area is in complete dark for the past couple of weeks and it imposes heavy danger to our security.,Minor repairs to municipal property,Proper electric supply to municipal properties,Person falling in Manhole
Garbage not lifted from house gully,Garbage  in the end of 5th cross  near welding shop ,Garbage not lifted from house gully,Garbage not lifted from co-authorised collection point,Collection point not attended properly
Minor repairs to municipal property,No bus shelter at Arekere gate  bannergatta road,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Garbage not lifted from house gully,Dear Sir \n\nThe road after & before lingarajapuram flyover is always blocked worst when it rains  why cant there be a concrete structured divider or metal barricades which is taller..as of know every week I see concrete brick dividers placed and some ignorant nuisance creating citizens remove it which is making traffic situation  worse and the road in front of the charles school is always filled with pot holes  365 days a year...school authorities also should cooperate in allowing parents or vehicles carrying children  inside or through alternate entrance behind the school..as its creating traffic jam frequently.  Please find a permanent solution.,Garbage not lifted from house gully,Drainage chokes and blockages,Silt to be lifted on road
Unauthorised Food Selling   Preparation,Took this bus this bus 366e jigani  from j d mara to appolo & gave 10rs for the ticket  conductor didn\'t give and went further then after few mins i asked for the ticket and how is ticket cost for my stop j d mara to appolo hospital  Conductor replied that he closed the stage now it\'s not possible to give the ticket !! I questioned why didn\'t he give the moment i gave him money and asked for ticket  he immediately said 12 and i gave him more 10rs but from no where suddenly gave tickets of 5 and 15 ( pics attached) and said it\'s 23rs and and promptly very much shamelessly kept 20rs for 12rs tickets and the way behaved to a gal was very much cheaper and rude..,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Shortage of water supply,Myself Karthik Hariharan  I noticed huge water leakage in my street and tried to contact the concerned person  when I contacted water supply board they asked me to inform this to Mr Naveen(8123807562). I gave complaint and used to follow up  but I found this person is showing no attitude to resolve the problem and always telling that the issue will be resolved in two days  I gave the complaint on Jan 5th 2014 but still no action taken. Regards  karthik(9844967925),Shortage of water supply,Leaks in water lines,Contaminated water supply
Unauthorised Food Selling   Preparation,I am facing difficulty in travelling from kengeri to cantonment railway station bus stop as there are no direct buses as well as the frequency of existing shivajinagar buses is less.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Unauthorised Food Selling   Preparation,The Road which connects from adugodi signal to Koramangala has many potholes in that road.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,The road is supposed to handle two way traffic but one side of the road is completely broken to an extent that all the heavy vehicle to motorcycles move on a single patch of road. Nobody seems to take care of this area. No proper drainage no proper sewage system. Kudlu Gate is the worst maintained area of Bangalore. I dont trust BBMP employees are going to do anything about it.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Major repairs to municipal property
Bad Patches,This road connects Whitefield  Varthur to ITPL,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Unauthorised construction development
Unauthorised Food Selling   Preparation,Approximately 3 feet in diameter and about 1 foot deep. Someone has tried to mitigate the problem by adding some rubble  but this is probably compounding the cracking. On two occasions I have seen cars stuck in this pothole; it is within the roadway  but close to an area where people frequently park.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,Too many potholes on CMH road starting at 100 feet road until Ulsoor!!,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Sweeping of road,Last month or so BWSSB (?) dug up the road from Ejipura signal to Sony world signal. The way they have closed the dug up roads is pathetic and the whole road is in bad condition. The above road in known for heavy traffic flow and the above road work has led to more pile up of the traffic.,Sweeping of road,Garbage not lifted from house gully,Removal of Debris
Bad Patches,The HMT Main Road near Tumkur Road is in very bad state from years and no actions has been taken till now. A large no of people(residents of societies like platinum city jalvayu heights etc) use this road for their daily commute along with a number of heavy vehicles. We got a phamphlet that construction will start at the time when elections were near but no action after that. May be we have to wait till several elections for road to complete. I am not sure if this is the right forum to bring this up since it deals with potholes in the road however  from our perspective the HMT Main Road is a road in the potholes. Thanks,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Collection point not attended properly,Hulimavu lake  one of BengaluruÃ¢â‚¬â„¢s biggest lakes may become a thing of past which may dry up due to negligence to current week and garbage dump by locals and BBMP trucks.,Collection point not attended properly,Silt to be lifted on road,Garbage not lifted from co-authorised collection point
Bad Patches,There is no proper maintenance of the road and littering all around the SJP road and there is major landmark Townhall connecting to KR market. Not sure why the Goverment is not taking measures to take care of our major landmark places,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Drainage chokes and blockages,The footpath from Marathalli towards Kundanalli is not maintained well and very difficult to cross the road  a skywalk near Kundanalli junction will help,Drainage chokes and blockages,Minor repairs to municipal property,Removal of Debris
Collection point not attended properly,The whole Domlur flyover bridge and drainage is not maintained well. Plants growing on the flyover  littering all around. If anyone passes by there is stink in the whole area and the open drain is filled with filth  which is not cleared from ages. Please take some action  its a major landmark of that area.,Collection point not attended properly,Removal of Debris,Bad Patches
Unauthorised construction development,The newly constructed Allalasandra flyover has been completed about a month ago  but is not being opened to public for use. Why is there a delay to open the flyover? This is causing inconvenience to public by delaying the travel by 20 minutes every day,Unauthorised construction development,Unauthorised extension construction,Repairs to pipe sewers main sewers
Sweeping of road,The service road after B Narayanapura Lake (direction from NCC Ivory Height to KR puram Railway station) is closed and is being made used to garbage. This is being done since more than 4 months. Please remove the garbage and open the service road for public use. The garbage lying is causing smell and will definitely cause illness. Opening the service road will ease traffic at the Lowry School junction,Sweeping of road,Garbage not lifted from house gully,Collection point not attended properly
Bad Patches,For a stretch of 3 kms from Marathalli to Panathur  I spend an average of 40 mins per day due to lot of chaos and traffic issues. Not sure whats the problem for BTP to consider additional policemen  in this area but havent seen any improvements in last 4-5 months.,Bad Patches,Person falling in Manhole,Municipal Land - Road   Footpath   Strom Water Drain
Sweeping of road,Everyday vegetable vendors and factory workers pile up heaps of garbage and the lane stinks and adds to an unpleasant environment. Bangalore is a beautiful city and such lanes hamper the city\'s liveliness.,Sweeping of road,Unauthorised Food Selling   Preparation,Running without licence
Shortage of water supply,Hi Ajmal Baig \n\nI would like to lodge a complaint regarding Bore water issue which you were supposed to do last month itself but still you have concentrate on it. i.e. in 9th cross 1st Main Road Bapujinagar where you promised replace old bore to new bore and give connection to that particular road where people are finding difficult in getting water but still no action has been taken yet kindly come and do the required work left. we are facing this issue from very long time and for that water we have to fight with neighbors for connection of pipe. Make our Votes Worth it Sir.,Shortage of water supply,Contaminated water supply,Leaks in water lines
Garbage not lifted from house gully,The service road from Ramamurthy Nagar towards Tin Factory Flyover  is being used by Garbage Trucks  to transfer Garbage and in the process half of the garbage is dumped and left there. It looks horrible to drive with garbage piled up all along the roadside. Requesting the authorities to look into it and provide garbage trucks other places to carry out their activity.,Garbage not lifted from house gully,Garbage not lifted from co-authorised collection point,Sweeping of road
Bad Patches,Pata fur agrahara road in total mess. Half completed  narrow at many places  animals and vehicles occupy road  no footpath  petty shops encroaching road.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Proper electric supply to municipal properties,Streetlights not working on Dr. Vishnuvardhan Road near JSS College. This was a place  where some incident had recently happened.,Proper electric supply to municipal properties,Minor repairs to municipal property,Person falling in Manhole
Unauthorised construction development,The service road of Marathahalli Outer Ring road near Home Town/Salarpuria Supreme Building has been cut unauthorised by some private party long back. It has created a dent across the road  and vehicles passing the area has to slow down and pass. This has to be patched at the earliest possible time.\n\nUnauthorised road cuttings need to be dealt with seriously and the defaulters fined heavily. It is very evident that the road cut is for the purpose of one of the nearby buildings only.,Unauthorised construction development,Municipal Land - Road   Footpath   Strom Water Drain,"Unauthorised stalls on roads, footpath or SWD drain"
Sweeping of road,Garbage thrown in the corner of the main road .this is 100 meters from Narayana Health Hospital Hsr layout.\n\nI see bbmp auto is coming to collect in this area but not sure who is throwing garbage in the road.\n\nBbmp should collect thus once and let all the houses know about that and take responsibility to stop that .,Sweeping of road,Garbage not lifted from house gully,Person falling in Manhole
Garbage not lifted from house gully,Hi. This issue is pertaining to the garbage that\'s collected and dumped on the hennur main road. This Garbage house is located just next to the sewage bridge and before the Bens Sathya Enclave crossing. Please have the authorities clean it up as it is creating too much of mosquitoes and the whole stretch (including sewage bridge) stinks like anything.\n\nPlease action on it urgently.\n\nGaurav\n9916012485\n\n(Active member of Swatch Bharat Abhiyaan),Garbage not lifted from house gully,Collection point not attended properly,Garbage not lifted from co-authorised collection point
Collection point not attended properly,Hi  there is a small plot of land where people throw garbage.\nMany students pass by the same road since it is in front of RNSIT engineering college  Channasandra.\nMany of them living in the surroundings have fallen sick because of this.\nHope you clear the garbage and find a permanent solution for this issue.,Collection point not attended properly,Silt to be lifted on road,Sweeping of road
Proper electric supply to municipal properties,There are around 5-6 streetlights which are not functioning from Srinivasapura Cross to Channasandra Layout (Uttarahalli-Kengeri Main Road). The whole area is dark and it\'s difficult for pedestrians as there are no footpaths in the area as well!\nHope you take notice of this and replace the non functioning streetlights with the new ones!,Proper electric supply to municipal properties,Minor repairs to municipal property,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,Dear Sir/Madam \n\nWe are living in vyalikaval layout  veerana palaya  Nagawara. Sewer line in our area was blocked and due to blockage  sewer water is over flowing in most of the area. The matter was conveyed to concerned authority and  no fruitful result has found for last one year. Over flowing of sewer  water spoils all the roads and it become very difficult to stay in our area.\n\nIt is requested that  kindly take up the case with appropriate authority for cleaning and blockage of sewer line at the earliest.\n\nWe will be very thankful to you  if sewer line of our area become functional.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Bad patches potholes on roads
"Removal of silt from nalla across culverts, etc.",Dear Sir/Madam \n\nWe  residents of 3rd B cross Nagappa Reddy Layout  would like to bring notice to you that 3rd B cross Nagappa Reddy Layout is deprived of all the development activities happened on the layout. There is no storm water drain laid and due to that we are frequently seeing flooding in the road in this rainy season. Being located in the dead end of the road  we see water stagnated in the road for long hours. The tar road was laid to other parts of layout and little bit of stretch towards the dead end was left out. In spite of following up the matter with the executive engineer for several months  we see no improvement in conditions in 3rd B cross. We would like to request you to take urgent action on this matter.\n\nWe have already given an official complaint on this to BMMP chief engineer about one year back and no action has been taken yet. As per our known sources  the road was approved for tar  but its not done yet.\n\nThanking you.\n\nYours faithfully \n\nResidents of 3rd Cross  Nagappa Reddy Layout,"Removal of silt from nalla across culverts, etc.",Repair to damaged open SWD,Pre-monsoon works halted
"Removal of silt from nalla across culverts, etc.",The sewage pipes are blocked and the neighbours are letting out sewage water into the main storm water drain. The least they can do is call up bwssb and get their sewage pipes cleaned. This is a serious health hazard.,"Removal of silt from nalla across culverts, etc.",Repair to damaged open SWD,Pre-monsoon works halted
Unauthorised Food Selling   Preparation,Would like to bring to your notice that  we are noticing increase in stray dogs in our cross (9th B Main  4th cross near ST. Thomas School).\n\nThe dogs are creating loads of problems for kids and commuters. Every day early morning around 4:30 AM they start fight  which disturbs our sleep.\n\nAlso  they are damaging the vehicles which are park on road side by climbing up on them etc.. \n\nKindly look into it and do the needful at the earliest.\n\nThank you \n\nZayeem Khan\n\nResident of BTM Layout 1Stage\nBengaluru - 560029,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Minor repairs to municipal property,I have recently moved to ANANTH NAGAR PHASE 2 and surprised that no one should use other than HATHWAY if other guy comes he will be beaten up badly. the people should have freedom to choose any its kind of local mafia here.,Minor repairs to municipal property,Sweeping of road,Major repairs to municipal property
Bad Patches,Drivers (Especially auto rikshaw drivers and Cab drivers) who drives through Ranka colony road considers it as their race track and don\'t even cares about basic traffic rules like \'Keep Left\'. Recently two humps have been installed in this road  but it does not help to restrict over speeding on this road and other people to drive safely on this road. It would be better if there is a median on this road  which can help the commuters to drive safely.\n\nQuality of the road is also worst where the point it intersects at Dr. Ambedkar Road  Authorities has done some patch work at Dr Ambedkar road and neglected this area. If they really concerned about road quality  they would have considered this area as well.,Bad Patches,Bad patches potholes on roads,Major repairs to municipal property
Bad Patches,The area where Ranka colony road meets Ambedkar road is in a pathetic condition for commuters (Even for pedstrians). That area does not look like a road.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Major repairs to municipal property
Unauthorised Food Selling   Preparation,Here at Bilekahalli area  We are facing unexpected power failures. \nsometimes at 7 AM  sometimes at 8 AM. It may last for minimum of 1 hour to 1 and half hours  sometimes more than 2 hours.\nA solution is a must for this issue.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,On Saturday 5-Mar-2016 afternoon around 1pm  at Bhasyam Circle in Sadashiv Nagar  I was going from 18th cross towards airport road. I wanted to take left turn at Bhasyam Circle. Although traffic signal turned RED for traffic straight towards Cauvery Theatre  left turn was still allowed a RED coloured Nissan SUV registration number : KA 03 MA 457 blocked. When I honked continuously to ask the driver to give way  a person in the back seat left side window came out and used abusive language against me.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Bad Patches,The road from CMRIT college to Graphite india is completely damaged. The road is full of dust. Hard to walk in evenings.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Protection of municipal play grounds gardens,Install lighting in place where ladies and  children frequently visit in evening time before some mishap happens.,Protection of municipal play grounds gardens,Bad Patches,No attendance at public toilets
Drainage chokes and blockages,Electric pole too short near the road and hanging wires towards road side and too dangerous for people walking around it.,Drainage chokes and blockages,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain
Drainage chokes and blockages,Electric pole near by road with less height wires hanging towards road side .,Drainage chokes and blockages,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain
Unauthorised Food Selling   Preparation,Back of bus never shows number. This is inconvenient in Majestic where people must approach from the back of the bus coming down the elevated walkway,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Garbage not lifted from co-authorised collection point,Garbage collecting in our area is not responding well they are not coming regularly,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Proper electric supply to municipal properties,Street light in our area is not good the bulbs are gone,Proper electric supply to municipal properties,Major repairs to municipal property,Minor repairs to municipal property
Garbage not lifted from co-authorised collection point,In our area garbage problem is more and the people who come to collect the garbage does not collect properly,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Proper electric supply to municipal properties,The lights in our area are not good please say the concerned person to replace the bulb,Proper electric supply to municipal properties,Major repairs to municipal property,Minor repairs to municipal property
Proper electric supply to municipal properties,The dogs in our area are more which create the problem for the pedestrians and the people who ride the vehicle,Proper electric supply to municipal properties,Major repairs to municipal property,Minor repairs to municipal property
Garbage not lifted from co-authorised collection point,The people who come to clean the road does not clean it properly if we ask to clean the road they ask money,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Repairs to pipe sewers main sewers,In front of my house there is a empty land people come and urinate here.,Repairs to pipe sewers main sewers,Drainage chokes and blockages,Minor repairs to municipal property
Garbage not lifted from co-authorised collection point,Garbage colection is not good. Roads are un clean.,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Shortage of water supply,3 days once coming drinking water,Shortage of water supply,Contaminated water supply,Leaks in water lines
Bad Patches,The maintenance of the street board is not good the sticker is removed,Bad Patches,Major repairs to municipal property,Minor repairs to municipal property
Sweeping of road,There is garbage dumped near Kundalahalli gate bus stop  it is unclean and unhygienic &amp; also stinks. The footpath leading to the bus stop is broken and needs to be replaced,Sweeping of road,Minor repairs to municipal property,Bad Patches
Bad Patches,Bus travellers who get down opposite of ecospace at bellundur (busses coming from silkboard) face a lot of problem to cross the road to go to ecospace. There should be a footover bridge as one in Maratahalli.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Unauthorised Food Selling   Preparation,Why service roads ...it only enhances the traffic and decreases the width of the road,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,Road in potholes,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,"Unauthorised stalls on roads, footpath or SWD drain"
Bad Patches,REF : W01170C41031  W01170C40773    Cars and two-wheelers keep parking in front of my house...  This has been going on for a long time...  Is there any way they can stop parking in front of my gate ?    Thanks and regards...    Glenn Samuel Verghese,Bad Patches,Removal of rank regulation on roads,Repairs re-surfacing of roads footpaths
Street lighting,I live in the Arekere area of Bannerghatta road and now-a-days there is frequent power cuts in this area. Most of the times there is power cut even for the whole day!!! This is the most stupid thing I have seen in any city. I hope we can call Bangalore a metro city like this......phewwww!!!!!,Street lighting,Bad patches potholes on roads,Repairs re-surfacing of roads footpaths
Bad Patches,Near the virupakshapura arch there is a road which is so bad. Even if it is made again......the potholes reappear. My request is to make the road nice  strong and good so that there are no potholes again. Also there is a lot of trouble for the vehicles to pass through the road.....I feel its dangerous. Please take an action for this,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Bad Patches,There is a huge pot hole outside mother diary factory Yelahanka new town. it is there since September 2015 and not repaired.,Bad Patches,Minor repairs to municipal property,Major repairs to municipal property
Garbage not lifted from house gully,All the roads  crosses are full of garbage. It becomes hell to pass through these areas during the time of rain,Garbage not lifted from house gully,Collection point not attended properly,Garbage not lifted from co-authorised collection point
